01/06/2020,GC 9713-TRANSFER    ,4000.00,,9632.50
01/07/2020,E-TRANSFER CA***ynB ,,714.00,10346.50
01/07/2020,SEND E-TFR CA***7fE ,45.00,,10301.50
01/08/2020,POWERNODE COMPU     ,551.25,,9750.25
01/08/2020,ALC MICRO BC IN     ,135.45,,9614.80
01/08/2020,GC 0281-DEPOSIT     ,,3076.50,12691.30
01/10/2020,ALC MICRO BC IN     ,661.50,,12029.80
01/13/2020,TD ATM DEP    002159,,1302.00,13331.80
01/13/2020,TD ATM DEP    002358,,700.00,14031.80
01/14/2020,IOL PAY TO: CRA     ,697.64,,13334.16
01/14/2020,SEND E-TFR CA***GZh ,663.90,,12670.26
01/14/2020,GC 9713-TRANSFER    ,5000.00,,7670.26
01/16/2020,ALC MICRO BC IN     ,1152.90,,6517.36
